"","Taxon","Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Tribe","Genus","Origin","Status","Reporting.Status","Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"70","Cryptoporus volvatus","(Peck) Shear",NA,"cryptic globe fungus","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Polyporaceae","","","Cryptoporus",NA,NA,"confirmed","observed","2010-04-17","Paul Kroeger","UBC","F22064",NA,"2016-03-12","Andrew Simon","http://www.inaturalist.org/observations/2775963","",118051,"FUN"
"71","Cudonia circinans","(Pers.) Fr.",NA,"common cudonia","Fungi","Ascomycota","Pezizomycotina",NA,"Leotiomycetes",NA,NA,"Rhytismatales","",NA,"Cudoniaceae","","","Cudonia",NA,NA,"confirmed","observed","2009-05-16","Kent Brothers","VMS","",NA,"2016-03-24","Tyson Ehlers","https://www.inaturalist.org/observations/8920371","",183199,"FUN"
"72","Cyanosporus caesius","(Schrad.) McGinty",NA,"blue cheese polypore","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Fomitopsidaceae","","","Cyanosporus",NA,NA,"confirmed","observed","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2020-10-20","Flora Lake","https://www.inaturalist.org/observations/68354716","reported as Oligoporus caesius",959237,"FUN"
"73","Cystoderma carcharias var. fallax","(A.H. Sm. & Singer) I. Saar",NA,"deceptive cystoderma","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Squamanitaceae","","","Cystoderma",NA,NA,"confirmed","observed","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2018-11-11","Adam Huggins","https://www.inaturalist.org/observations/18364194","",475632,"FUN"
"74","Cystodermella granulosa","(Batsch) Harmaja",NA,"pure cystoderma","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Agaricaceae","","","Cystodermella",NA,NA,"confirmed","observed","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2018-10-31","Christopher Heffley","https://www.inaturalist.org/observations/17991158","",338133,"FUN"
"75","Dacrymyces chrysospermus","Berk. & M.A. Curtis",NA,"witch’s butter","Fungi","Basidiomycota","Agaricomycotina",NA,"Dacrymycetes",NA,NA,"Dacrymycetales","",NA,"Dacrymycetaceae","","","Dacrymyces",NA,NA,"confirmed","observed","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2017-02-23","Andrew Simon","https://www.inaturalist.org/observations/5165789","",118028,"FUN"
"76","Dacrymyces stillatus","Nees",NA,"jelly fungus","Fungi","Basidiomycota","Agaricomycotina",NA,"Dacrymycetes",NA,NA,"Dacrymycetales","",NA,"Dacrymycetaceae","","","Dacrymyces",NA,NA,"confirmed","observed","2016-02-01","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2019-01-13","Kevin Toomer","https://www.inaturalist.org/observations/19622764","plausible report but questionable photo, ID would really benefit from microscopy (Shannon Berch)",53276,"FUN"
"77","Deconica montana","(Pers.) P. Kumm.",NA,"mountain moss psilocybe","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Strophariaceae","","","Deconica",NA,NA,"confirmed","observed","2010-04-17","Paul Kroeger","UBC","F22062",NA,"2018-03-18","Andrew Simon","https://www.inaturalist.org/observations/10306416","reported as Psilocybe montana",498078,"FUN"
"78","Fomes fomentarius","(L.) Fr.",NA,"hoof fungus","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Polyporaceae","","","Fomes",NA,NA,"confirmed","observed","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2017-10-23","Kevin Toomer","https://www.inaturalist.org/observations/8520602","",127510,"FUN"
"79","Fomitopsis mounceae","J.-E. Haight & Nakasone",NA,"red-banded polypore","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Fomitopsidaceae","","","Fomitopsis",NA,NA,"confirmed","observed","2016-11-07","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2016-07-14","Andrew Simon","http://www.inaturalist.org/observations/3680363","reported as Fomitopsis pinicola; see Haight et al. 2019",877361,"FUN"
"80","Galerina marginata","(Batsch) Kühner",NA,"deadly galerina","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Hymenogastraceae","","","Galerina",NA,NA,"confirmed","observed","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2017-10-28","Marty Moser","https://www.inaturalist.org/observations/8597245","reported as Galerina autumnalis (Peck) A.H. Sm.& Singer",154735,"FUN"
"81","Ganoderma applanatum","(Pers.) Pat.",NA,"artist's conk","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Polyporaceae","","","Ganoderma",NA,NA,"confirmed","observed","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2016-08-14","Andrew Simon","http://www.inaturalist.org/observations/3890889","",48473,"FUN"
"82","Ganoderma oregonense","Murrill",NA,"Oregon varnished conk","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Polyporaceae","","","Ganoderma",NA,NA,"confirmed","observed","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2013-09-29","Ian Guthrie","http://www.inaturalist.org/observations/4208201","separation from G. tsugae is problematic and may need microscopy (Shannon Berch, pers. comm.); but according to a study cited on the following link, G. tsugae + G. oregonense do not appear to coexist on the west coast. See: https://www.mushroomexpert.com/ganoderma_tsugae.html",118062,"FUN"
"83","Ganoderma tsugae","Murrill",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Polyporaceae","","","Ganoderma",NA,NA,"confirmed","observed","2016-02-01","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2019-09-08","Caitlin Robsin","https://www.inaturalist.org/observations/32393547","separation from G. oregonense is problematic and may need microscopy (Shannon Berch, pers. comm.); but according to a study cited on the following link, G. tsugae + G. oregonense do not appear to coexist on the west coast. See: https://www.mushroomexpert.com/ganoderma_tsugae.html",63274,"FUN"
"84","Gomphidius oregonensis","Peck",NA,"insidious gomphidius","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Boletales","",NA,"Gomphidiaceae","","","Gomphidius",NA,NA,"confirmed","observed","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2017-11-22","Kevin Toomer","https://www.inaturalist.org/observations/8908014","",64097,"FUN"
"85","Gomphidius subroseus","Kauffman",NA,"rosy gomphidius","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Boletales","",NA,"Gomphidiaceae","","","Gomphidius",NA,NA,"confirmed","observed","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2020-10-06","Adrian Levine","https://www.inaturalist.org/observations/62313375","",48428,"FUN"
"86","Guepiniopsis alpina","(Earle) Brasf.",NA,"golden jelly cone","Fungi","Basidiomycota","Agaricomycotina",NA,"Dacrymycetes",NA,NA,"Dacrymycetales","",NA,"Dacrymycetaceae","","","Guepiniopsis",NA,NA,"confirmed","observed","2009-05","Kent Brothers","VMS","",NA,"2019-01-11","Andrew Simon","https://www.inaturalist.org/observations/19596586","",118032,"FUN"
"87","Gymnopilus junonius","(Fr.) P.D. Orton",NA,"spectacular rustgill","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Strophariaceae","","","Gymnopilus",NA,NA,"confirmed","observed","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2016-10-23","Graham Barber","http://inaturalist.ca/observations/4428045","reported as Gymnopilus spectabilis",83196,"FUN"
"88","Gymnopilus sapineus","(Fr.) Murrill",NA,"scaly rustgill","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Strophariaceae","","","Gymnopilus",NA,NA,"confirmed","observed","2016-11-07","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2016-11-03","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/4491221","",118302,"FUN"
"89","Gyromitra ancilis","(Pers.) Kreisel",NA,"","Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes",NA,NA,"Pezizales","",NA,"Discinaceae","","","Gyromitra",NA,NA,"confirmed","observed","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2018-04-09","Kevin Toomer","https://www.inaturalist.org/observations/10822697","reported as Discina ancilis",950530,"FUN"
"90","Gyromitra esculenta","(Pers.) Fr.",NA,"false morel","Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes",NA,NA,"Pezizales","",NA,"Discinaceae","","","Gyromitra",NA,NA,"confirmed","observed","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2015-03-25","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2573928","",85120,"FUN"
"91","Gyromitra infula","(Schaeff.) Quél.)",NA,"saddle-shaped false morel","Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes",NA,NA,"Pezizales","",NA,"Discinaceae","","","Gyromitra",NA,NA,"confirmed","observed","2007-04-05","Oluna Ceska","UBC","F29204",NA,"2017-11-19","Kevin Toomer","https://www.inaturalist.org/observations/8865816","",117994,"FUN"
"92","Hebeloma crustuliniforme","(Bull.) Quél.",NA,"poison pie","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Hymenogastraceae","","","Hebeloma",NA,NA,"confirmed","observed","2010-04-17","Paul Kroeger","UBC","F22076",NA,"","","","",194307,"FUN"
"93","Helvella compressa","(Snyder) N.S. Weber",NA,"compressed elfin saddle","Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes",NA,NA,"Pezizales","",NA,"Helvellaceae","","","Helvella",NA,NA,"confirmed","observed","2016-02-01","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2016-03-22","Tyson Ehlers","https://www.inaturalist.org/observations/8946029","",117997,"FUN"
"94","Helvella vespertina","N.H. Nguyen & Velling",NA,"western black elfin saddle","Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes",NA,NA,"Pezizales","",NA,"Helvellaceae","","","Helvella",NA,NA,"confirmed","observed","2011-10-29","Kent Brothers","VMS","",NA,"2016-11-01","Andrew Simon","https://www.inaturalist.org/observations/4479895","Helvella lacunosa, a European species only known to eastern NA on the continent, erroneously reported",423950,"FUN"
"95","Hericium abietis","(Weir ex Hubert) K.A. Harrison",NA,"bear’s head","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Russulales","",NA,"Hericiaceae","","","Hericium",NA,NA,"confirmed","observed","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2018-10-28","Karen Elisabeth Harris","https://www.inaturalist.org/observations/17918884","",55187,"FUN"
"96","Hericium erinaceus","(Bull.) Persoon",NA,"lion’s mane mushroom","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Russulales","",NA,"Hericiaceae","","","Hericium",NA,NA,"confirmed","observed","2016-11-07","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2018-07-30","Tyson Ehlers","https://www.inaturalist.org/observations/15113648","",49158,"FUN"
"97","Humaria hemisphaerica","(F.H. Wigg.) Fuckel",NA,"brown-haired white cup","Fungi","Ascomycota","Pezizomycotina",NA,"Pezizomycetes",NA,NA,"Pezizales","",NA,"Pyronemataceae","","","Humaria",NA,NA,"confirmed","observed","2011-10-29","Kent Brothers","VMS","",NA,"2016-10-29","Sarah Tweedale","http://www.inaturalist.org/observations/4472367","",58687,"FUN"
"98","Hydnellum peckii","",NA,"Bleeding Hydnellum","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Thelephorales","",NA,"Bankeraceae","","","Hydnellum",NA,NA,"confirmed","observed","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2020-10-01","Adrian Levine","https://www.inaturalist.org/observations/62312449","",154949,"FUN"
"99","Hygrocybe conica","",NA,"witch’s hat","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Hygrophorineae",NA,"Hygrophoraceae","","","Hygrocybe",NA,NA,"confirmed","observed","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2013-10-26","Ian Guthrie","http://www.inaturalist.org/observations/4209891","",51872,"FUN"
"100","Hygrocybe flavescens","",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Hygrophorineae",NA,"Hygrophoraceae","","","Hygrocybe",NA,NA,"confirmed","observed","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2015-02-12","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/2565145","",53475,"FUN"
"101","Hygrocybe miniata","(Fr.) P. Kumm.",NA,"vermillion waxcap","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Hygrophorineae",NA,"Hygrophoraceae","","","Hygrocybe",NA,NA,"confirmed","observed","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2016-11-11","Sarah Tweedale","http://inaturalist.ca/observations/4535424","",194659,"FUN"
"102","Hygrophoropsis aurantiaca","(Wulfen) Maire",NA,"false chanterelle","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Boletales","",NA,"Hygrophoropsidaceae","","","Hygrophoropsis",NA,NA,"confirmed","observed","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2018-10-29","Christopher Heffley","https://www.inaturalist.org/observations/17946919","",63538,"FUN"
"103","Hypholoma capnoides","",NA,"smoky-gilled hypholoma","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Strophariaceae","","","Hypholoma",NA,NA,"confirmed","observed","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2016-10-12","Andrew Simon","http://www.inaturalist.org/observations/4342913","",64071,"FUN"
"104","Hypholoma fasciculare","",NA,"sulphur tuft","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Strophariaceae","","","Hypholoma",NA,NA,"confirmed","observed","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2016-10-18","Adam Huggins","http://www.inaturalist.org/observations/4390428","",48767,"FUN"
"105","Hypomyces cervinigenus","Rogerson & Simms",NA,"elfin saddle-eater","Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes",NA,NA,"Hypocreales","",NA,"Hypocreaceae","","","Hypomyces",NA,NA,"confirmed","observed","2016-11-07","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2013-11-01","Ian Guthrie","http://www.inaturalist.org/observations/4210331","",118004,"FUN"
"106","Hypomyces lactifluorum","(Schwein.) Tul. & C. Tul.",NA,"lobster mushroom","Fungi","Ascomycota","Pezizomycotina",NA,"Sordariomycetes",NA,NA,"Hypocreales","",NA,"Hypocreaceae","","","Hypomyces",NA,NA,"confirmed","observed","2016-11-07","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2016-08-04","Graham Barber","http://inaturalist.ca/observations/3826875","",48215,"FUN"
"107","Inocybe geophylla","(Bull.) P. Kumm.",NA,"white fiber head","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Inocybaceae","","","Inocybe",NA,NA,"confirmed","observed","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2016-11-03","Lauren Magner & Andrew Simon","http://www.inaturalist.org/observations/4491084","",118336,"FUN"
"108","Inocybe lilacina","",NA,"lilac fibrecap","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Inocybaceae","","","Inocybe",NA,NA,"confirmed","observed","2016-11-07","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2018-11-02","Lauren Magner","https://www.inaturalist.org/observations/18050366","",118330,"FUN"
"109","Irpex lacteus","(Fr.) Fr.",NA,"milk-white toothed polypore","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Irpicaceae","","","Irpex",NA,NA,"confirmed","observed","2013-05-04","Kent Brothers","VMS","",NA,"2021-04-15","catiemac","https://www.inaturalist.org/observations/75546110","",130910,"FUN"
"110","Jahnoporus hirtus","(Cooke) Nuss",NA,"","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Russulales","",NA,"Albatrellaceae","","","Jahnoporus",NA,NA,"confirmed","observed","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2019-12-07","Richard Ward","https://www.inaturalist.org/observations/36452902","",118058,"FUN"
"111","Laccaria amethysteo-occidentalis","G.M. Muell.",NA,"western amethyst laccaria","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Hydnangiaceae","","","Laccaria",NA,NA,"confirmed","observed","2016-11-07","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2013-10-11","Ian Guthrie","http://www.inaturalist.org/observations/4210107","",54893,"FUN"
"112","Laccaria laccata","(Scop.) Cooke",NA,"deceiver","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Hydnangiaceae","","","Laccaria",NA,NA,"confirmed","observed","2010-04-17","Paul Kroeger","UBC","F22063",NA,"2015-03-21","Lauren Magner & Andrew Simon","http://inaturalist.ca/observations/2605345","",63236,"FUN"
"113","Lacrymaria lacrymabunda","(Bull.) Pat.",NA,"weeping widow","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Psathyrellaceae","","","Lacrymaria",NA,NA,"confirmed","observed","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2015-09-27","Andrew Simon","http://www.inaturalist.org/observations/2632634","",130934,"FUN"
"114","Lactarius deliciosus","(L.) Gray",NA,"saffron milkcap","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Russulales","",NA,"Russulaceae","","","Lactarius",NA,NA,"confirmed","observed","2016-11","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2013-10-26","Ian Guthrie","http://www.inaturalist.org/observations/4209884","",155197,"FUN"
"115","Lactarius rubrilacteus","Hesler & A.H. Sm.",NA,"red-bleeding milk cap","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Russulales","",NA,"Russulaceae","","","Lactarius",NA,NA,"confirmed","observed","2016-11-07","Rene Zich","15th Galiano Mushroom Festival List","",NA,"2018-10-22","Adam Huggins","https://www.inaturalist.org/observations/17906015","",118226,"FUN"
"116","Laetiporus conifericola","",NA,"conifer chicken of the woods","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Polyporales","",NA,"Laetiporaceae","","","Laetiporus",NA,NA,"confirmed","observed","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2016-07-10","Sarah Tweedale","http://www.inaturalist.org/observations/3653800","Laetiporus sulphureus is previously reported by Rene Zich, however that species is limited to eastern North America",118057,"FUN"
"117","Leccinum manzanitae","Thiers",NA,"manzanita boletus","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Boletales","",NA,"Boletaceae","","","Leccinum",NA,NA,"confirmed","observed","2016-02","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2018-11-02","Larissa Marie","https://www.inaturalist.org/observations/18059091","",54204,"FUN"
"118","Lepiota magnispora","Murrill",NA,"shaggy-stalked parasol","Fungi","Basidiomycota","Agaricomycotina",NA,"Agaricomycetes",NA,NA,"Agaricales","Agaricineae",NA,"Agaricaceae","","","Lepiota",NA,NA,"confirmed","observed","2016-02-01","Rene Zich","Galiano Comprehensive Mushroom List Feb 2016","",NA,"2013-10-11","Ian Guthrie","http://www.inaturalist.org/observations/4208526","",194663,"FUN"
