"","Taxon","Author","Subtaxon.Author","Common.Name","Kingdom","Phylum","Subphylum","Superclass","Class","Subclass","Superorder","Order","Suborder","Superfamily","Family","Subfamily","Genus","Tribe","Origin","Status","Reporting.Status","iNat.Observation","Collected.Reported..y.m.d.","Collector.Source","Collection.List","Accession.Number","GBIF.ID","First.Observed","Observer","iNaturalist.Link","Notes","ID","Stats.Code"
"245","Magallana gigas","(Thunberg, 1793)",NA,"Pacific oyster","Animalia","Mollusca",NA,NA,"Bivalvia","Pteriomorphia","","Ostreida","","Ostreoidea","Ostreidae","","Magallana",NA,"non-native","unlisted","new 2016","observed","","","","",NA,"2016-08-17","Andrew Simon","http://www.inaturalist.org/observations/3910078","",605992,"MOL"
"246","Pododesmus macrochisma","(Deshayes, 1839)",NA,"green false-jingle","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","","Pectinida","","Pectinoidea","Anomiidae","","Pododesmus",NA,"native","unlisted","confirmed","observed","1986-04-08","","RBCM","986-00191-016",NA,"2016-04-06","Karolle Wall","http://www.inaturalist.org/observations/4052032","",68652,"MOL"
"247","Chlamys hastata","(G.B. Sowerby II, 1842)",NA,"spiny pink scallop","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","","Pectinida","","Pectinoidea","Pectinidae","Pedinae","Chlamys",NA,"native","unlisted","confirmed","observed","1962-01-01","Dan Quayle","RBCM","989-00923-001",1898302672,"2013-10-13","Peter Luckham","http://www.inaturalist.org/observations/2976031","",180013,"MOL"
"248","Chlamys rubida","(Hinds, 1845)",NA,"smooth pink scallop","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","","Pectinida","","Pectinoidea","Pectinidae","Pedinae","Chlamys",NA,"native","unlisted","reported","unobserved","1961-05-13","Dan Quayle","RBCM","982-00207-003",1898263421,"","","","",84496,"MOL"
"249","Crassadoma gigantea","(J.E. Gray, 1825)",NA,"giant rock scallop","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","","Pectinida","","Pectinoidea","Pectinidae","Pedinae","Crassadoma",NA,"native","unlisted","confirmed","observed","1969-02-21","Andy Lamb","PMLS","",NA,"2015-05-16","Karolle Wall","http://www.inaturalist.org/observations/2854818","",54526,"MOL"
"250","Patinopecten caurinus","(Gould, 1850)",NA,"giant Pacific sea scallop","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","","Pectinida","","Pectinoidea","Pectinidae","","Patinopecten",NA,"native","unlisted","reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03311",1898283425,"","","","",203116,"MOL"
"251","Tresus capax","(Gould, 1850)",NA,"fat gaper","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Venerida","","Mactroidea","Mactridae","Lutrariinae","Tresus",NA,"native","unlisted","confirmed","observed","1993-05-09","Charlie Gibbs","PMLS","",NA,"2016-02-07","Peter Luckham","https://www.inaturalist.org/observations/2763417","",126927,"MOL"
"252","Tresus nuttallii","(Conrad, 1837)",NA,"Pacific gaper","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Venerida","","Mactroidea","Mactridae","Lutrariinae","Tresus",NA,"native","unlisted","confirmed","observed","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00317",1898324818,"2019-05-04","Emily Adamczyk","https://www.inaturalist.org/observations/24698187","",117611,"MOL"
"253","Zemysina impolita","(S.S. Berry, 1953)",NA,"rough diplodon","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Venerida","","Ungulinoidea","Ungulinidae","","Zemysina",NA,"native","unlisted","reported","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00293",1898314726,"","","","",1118984,"MOL"
"254","Humilaria kennerleyi","(Reeve, 1863)",NA,"Kennerley's venus","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Venerida","","Veneroidea","Veneridae","","Humilaria",NA,"native","unlisted","reported","unobserved","1958-09-05","Ian McTaggart-Cowan","RBCM","979-00318-002",1898275723,"","","","",873901,"MOL"
"255","Leukoma staminea","(Conrad, 1837)",NA,"Pacific littleneck clam","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Venerida","","Veneroidea","Veneridae","Chioninae","Leukoma",NA,"native","unlisted","confirmed","observed","2007-10-14","Andy Lamb","PMLS","",NA,"2016-09-01","Andrew Simon","http://www.inaturalist.org/observations/4017301","",333608,"MOL"
"256","Ruditapes philippinarum","(Adams & Reeve, 1850)",NA,"Japanese littleneck","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Venerida","","Veneroidea","Veneridae","","Ruditapes",NA,"non-native","unlisted","new 2016","observed","","","","",NA,"2016-08-21","Tyrel Froese","http://www.inaturalist.org/observations/4004964","",343269,"MOL"
"257","Saxidomus gigantea","(Deshayes, 1839)",NA,"Washington butter clam","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Venerida","","Veneroidea","Veneridae","","Saxidomus",NA,"native","unlisted","confirmed","observed","2006-06-23","Andy Lamb","PMLS","",NA,"2016-08-17","Andrew Simon","http://www.inaturalist.org/observations/3910100","",130233,"MOL"
"258","Compsomyax subdiaphana","(Carpenter, 1864)",NA,"milky venus","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Imparidentia","Veneroida","","Veneroidea","Veneridae","","Compsomyax",NA,"native","unlisted","reported","unobserved","1961-06-22","","RBCM","976-01146-007",1898298969,"","","","",957357,"MOL"
"259","Entodesma navicula","(Adams & Reeve, 1850)",NA,"rock entodesma","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Anomalodesmata","","","Pandoroidea","Lyonsiidae","","Entodesma",NA,"native","unlisted","reported","unobserved","1969-02-22","Andy Lamb","PMLS","",NA,"","","","",339164,"MOL"
"260","Lyonsia bracteata","(Gould, 1850)",NA,"scaly lyonsia","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Anomalodesmata","","","Pandoroidea","Lyonsiidae","","Lyonsia",NA,"native","unlisted","reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03305",1898276441,"","","","",1118981,"MOL"
"261","Mytilimeria nuttalli","Conrad, 1837",NA,"bladderclam","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Anomalodesmata","","","Pandoroidea","Lyonsiidae","","Mytilimeria",NA,"native","unlisted","reported","unobserved","1985-07-29","Andy Lamb","PMLS","",NA,"","","","",873896,"MOL"
"262","Pandora filosa","(Carpenter, 1864)",NA,"threaded pandora","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Anomalodesmata","","","Pandoroidea","Pandoridae","","Pandora",NA,"native","unlisted","reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03302",NA,"","","","",906400,"MOL"
"263","Pandora wardiana","A. Adams, 1860",NA,"giant pandora","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Anomalodesmata","","","Pandoroidea","Pandoridae","","Pandora",NA,"native","unlisted","reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03301",NA,"","","","",906421,"MOL"
"264","Thracia trapezoides","Conrad, 1849",NA,"trapezoid thracia","Animalia","Mollusca",NA,NA,"Bivalvia","Autobranchia","Anomalodesmata","","","Thracioidea","Thraciidae","","Thracia",NA,"native","unlisted","reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03313",1898304696,"","","","",957343,"MOL"
"265","Enteroctopus dofleini","(Wülker, 1910)",NA,"giant pacific octopus","Animalia","Mollusca",NA,NA,"Cephalopoda","Coleoidea","Octopodiformes","Octopoda","Incirrata","Octopodoidea","Enteroctopodidae","","Enteroctopus",NA,"native","unlisted","confirmed","observed","1993-05-09","Charlie Gibbs","PMLS","",NA,"2007-10-23","Jackson Chu","https://www.inaturalist.org/observations/8459014","",48863,"MOL"
"266","Octopus rubescens","Berry, 1953",NA,"Pacific red octopus","Animalia","Mollusca",NA,NA,"Cephalopoda","Coleoidea","Octopodiformes","Octopoda","Incirrata","Octopodoidea","Octopodidae","","Octopus",NA,"native","unlisted","reported","unobserved","1995-02-25","Charlie Gibbs","PMLS","",NA,"","","","",47455,"MOL"
"267","Berryteuthis magister","(Berry, 1913)",NA,"schoolmaster armhook squid","Animalia","Mollusca",NA,NA,"Cephalopoda","Coleoidea","Decapodiformes","Oegopsida","","","Gonatidae","","Berryteuthis",NA,"native","unlisted","reported","unobserved","1956-01-29","W. Barraclough","RBCM","978-00057-002",1898322476,"","","","",432390,"MOL"
"268","Rossia pacifica","Berry, 1911",NA,"stubby squid","Animalia","Mollusca",NA,NA,"Cephalopoda","Coleoidea","Decapodiformes","Sepiida","","","Sepiolidae","Rossiinae","Rossia",NA,"native","unlisted","reported","unobserved","1994-02-27","Charlie Gibbs","PMLS","",NA,"","","","",151358,"MOL"
"269","Doryteuthis opalescens","(Berry, 1911)",NA,"California market squid","Animalia","Mollusca",NA,NA,"Cephalopoda","Coleoidea","Decapodiformes","Teuthida","","","Loliginidae","","Doryteuthis",NA,"native","unlisted","new 2015","observed","","","","",NA,"2015-08-06","Chessi Miltner","http://www.inaturalist.org/observations/3598640","",153981,"MOL"
"270","Phyllaplysia taylori","Dall, 1900",NA,"zebra leafslug","Animalia","Mollusca",NA,NA,"Gastropoda","Heterobranchia","","Aplysiida","","Aplysioidea","Aplysiidae","","Phyllaplysia",NA,"native","unlisted","confirmed","observed","1985-12-07","Andy Lamb","PMLS","",NA,"2015-05-21","Karolle Wall","http://www.inaturalist.org/observations/3707805","",49864,"MOL"
"271","Acteocina culcitella","(Gould, 1853)",NA,"pillow barrel-bubble","Animalia","Mollusca",NA,NA,"Gastropoda","Heterobranchia","","Cephalaspidea","","Bulloidea","Acteocina","","Acteocina",NA,"native","unlisted","reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03320",1898315360,"","","","",49788,"MOL"
"272","Aglaja ocelligera","(Bergh, 1894)",NA,"spotted aglaja","Animalia","Mollusca",NA,NA,"Gastropoda","Heterobranchia","","Cephalaspidea","","Philinoidea","Aglajidae","","Aglaja",NA,"native","unlisted","confirmed","observed","1996-05-29","Charlie Gibbs","PMLS","",NA,"2015-05-20","Karolle Wall","https://www.inaturalist.org/observations/32171691","",49842,"MOL"
"273","Melanochlamys diomedea","(Bergh, 1894)",NA,"Diomedes aglajid","Animalia","Mollusca",NA,NA,"Gastropoda","Heterobranchia","","Cephalaspidea","","Philinoidea","Aglajidae","","Melanochlamys",NA,"native","unlisted","reported","unobserved","1975-06-17","Philip Lambert","RBCM","975-00224-004",1898274481,"2018-05-29","Karolle Wall","https://www.inaturalist.org/observations/12938503","Reported as (syn) Aglaja diomedea",345334,"MOL"
"274","Cylichna attonsa","Carpenter, 1865",NA,"deep trouble chalice-bubble","Animalia","Mollusca",NA,NA,"Gastropoda","Heterobranchia","","Cephalaspidea","","Cylichnoidea","Cylichnidae","","Cylichna",NA,"native","unlisted","confirmed","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03321",1898288481,"","","","",49792,"MOL"
"275","Gastropteron pacificum","Bergh, 1894",NA,"winged sea slug","Animalia","Mollusca",NA,NA,"Gastropoda","Heterobranchia","","Cephalaspidea","","Philinoidea","Gastropteridae","","Gastropteron",NA,"native","unlisted","reported","unobserved","1994-02-27","Charlie Gibbs","PMLS","",NA,"","","","",49839,"MOL"
"276","Haminoea vesicula","(Gould, 1855)",NA,"white bubble shell","Animalia","Mollusca",NA,NA,"Gastropoda","Heterobranchia","","Cephalaspidea","","Haminoeoidea","Haminoeidae","","Haminoea",NA,"native","unlisted","confirmed","observed","2018-06-24","Karin Fletcher","PMLS","",NA,"2018-05-30","Karolle Wall","https://www.inaturalist.org/observations/12970636","",49812,"MOL"
"277","Myosotella myosotis","(Draparnaud, 1801)",NA,"mouse-eared snail","Animalia","Mollusca",NA,NA,"Gastropoda","Heterobranchia","Eupulmonata","Ellobiida","","Ellobioidea","Ellobiidae","Pythiinae","Myosotella",NA,"non-native","unlisted","new 2016","observed","","","","",NA,"2016-09-01","Andrew Simon","http://www.inaturalist.org/observations/4017005","",225386,"MOL"
"278","Diodora aspera","(Rathke, 1833)",NA,"rough keyhole limpet","Animalia","Mollusca",NA,NA,"Gastropoda","Vetigastropoda","","Lepetellida","","Fissurelloidea","Fissurellidae","Diodorinae","Diodora",NA,"native","unlisted","confirmed","observed","1969-02-21","Andy Lamb","PMLS","",NA,"2019-05-04","Norah Brown","https://www.inaturalist.org/observations/24519360","",64148,"MOL"
"279","Puncturella cucullata","(Gould, 1846)",NA,"hooded puncturella","Animalia","Mollusca",NA,NA,"Gastropoda","Vetigastropoda","","Lepetellida","","Fissurelloidea","Fissurellidae","","Cranopsis",NA,"native","unlisted","reported","unobserved","1986-09-30","","RBCM","986-00197-038",NA,"","","","",904312,"MOL"
"280","Haliotis kamtschatkana","Jonas, 1845",NA,"northern abalone","Animalia","Mollusca",NA,NA,"Gastropoda","Vetigastropoda","","Lepetellida","","Haliotoidea","Haliotidae","","Haliotis",NA,"native","unlisted","reported","unobserved","1981-05-31","Andy Lamb","PMLS","",NA,"","","","",56654,"MOL"
"281","Crepidula cf nummaria","",NA,"northern white slippersnail","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Littorinimorpha","","Calyptraeoidea","Calyptraeidae","","Crepidula",NA,"","","reported","unobserved","1994-09-10","Andy Lamb","PMLS","",NA,"","","","",117325,"MOL"
"282","Crepidula norrisiarum","Williamson, 1905",NA,"hooked slippersnail","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Littorinimorpha","","Calyptraeoidea","Calyptraeidae","","Crepidula",NA,"native","unlisted","reported","unobserved","1995-02-26","Charlie Gibbs","PMLS","",NA,"","","","",485954,"MOL"
"283","Trichotropis cancellata","Hinds, 1843",NA,"checkered hairysnail","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Littorinimorpha","","Capuloidae","Capulidae","","Trichotropis",NA,"native","unlisted","reported","unobserved","1985-08-02","Andy Lamb","PMLS","",NA,"","","","",447177,"MOL"
"284","Melanella micans","(Carpenter, 1865)",NA,"shining balcis","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Littorinimorpha","","Vanikoroidea","Eulimidae","","Melanella",NA,"native","unlisted","reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03323-001",1898291795,"","","","",733259,"MOL"
"285","Lacuna variegata","Carpenter, 1864",NA,"variable lacuna","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Littorinimorpha","","Littorinoidea","Littorinidae","Lacuninae","Lacuna",NA,"native","unlisted","reported","unobserved","2009-02-08","Andy Lamb","PMLS","",NA,"","","","",339150,"MOL"
"286","Littorina scutulata","Gould, 1849",NA,"checkered periwinkle","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Littorinimorpha","","Littorinoidea","Littorinidae","Littorininae","Littorina",NA,"native","unlisted","new 2016","observed","","","","",NA,"2016-08-26","Lauren Magner","http://www.inaturalist.org/observations/3971332","",69995,"MOL"
"287","Littorina sitkana","Philippi, 1846",NA,"Sitka periwinkle","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Littorinimorpha","","Littorinoidea","Littorinidae","Littorininae","Littorina",NA,"native","unlisted","new 2017","observed","","","","",NA,"2017-02-23","Kathleen Buckley","https://www.inaturalist.org/observations/5185500","",129298,"MOL"
"288","Cryptonatica aleutica","(Dall, 1919)",NA,"Aleutian moonsnail","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Littorinimorpha","","Naticoidea","Naticidae","Naticinae","Cryptonatica",NA,"native","unlisted","reported","unobserved","2009-01-30","Andy Lamb","PMLS","",NA,"","","","",507519,"MOL"
"289","Euspira pallida","(Broderip & G.B. Sowerby I, 1829)",NA,"pale northern moonsnail","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Littorinimorpha","","Naticoidea","Naticidae","Polinicinae","Euspira",NA,"native","unlisted","reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03310-001",1898274458,"","","","",873876,"MOL"
"290","Neverita lewisii","(Gould, 1847)",NA,"Lewis' moon snail","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Littorinimorpha","","Naticoidea","Naticidae","Polinicinae","Neverita",NA,"native","unlisted","confirmed","observed","1961-06-23","","RBCM","976-01146-004",1898263889,"2016-02-07","Peter Luckham","http://www.inaturalist.org/observations/2763410","",447427,"MOL"
"291","Fusitriton oregonensis","(Redfield, 1848)",NA,"Oregon triton","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Littorinimorpha","","Tonnoidea","Ranellidae","","Fusitriton",NA,"native","unlisted","reported","unobserved","1973-09-20","Andy Lamb & Donna Gibbs","PMLS","",NA,"","","","",448389,"MOL"
"292","Marsenina rhombica","(Dall, 1871)",NA,"marbled lamellarid","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Littorinimorpha","","Cypraeoidea","Velutinidae","Velutininae","Marsenina",NA,"native","unlisted","reported","unobserved","2016-02-07","Andy Lamb","PMLS","",NA,"","","","",337741,"MOL"
"293","Marsenina stearnsii","(Dall, 1871)",NA,"stearn's ear shell","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Littorinimorpha","","Cypraeoidea","Velutinidae","Velutininae","Marsenina",NA,"native","unlisted","new 2016","observed","","","","",NA,"2016-04-07","Karolle Wall","http://www.inaturalist.org/observations/2908642","",53555,"MOL"
"294","Velutina plicatilis","(O.F. Müller, 1776)",NA,"oblique lamellaria","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Littorinimorpha","","Cypraeoidea","Velutinidae","","Velutina",NA,"native","unlisted","reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03324",1898301017,"","","","",482348,"MOL"
"295","Velutina velutina","(O.F. Müller, 1776)",NA,"spiral velvet snail","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Littorinimorpha","","Cypraeoidea","Velutinidae","Velutininae","Velutina",NA,"native","unlisted","reported","unobserved","2008-03-07","Andy Lamb","PMLS","",NA,"","","","",482347,"MOL"
"296","Vermetus compactus","Daudin, 1800",NA,"northern compact wormsnail","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Littorinimorpha","","Vermetoidea","Vermetidae","","Vermetus",NA,"native","unlisted","reported","unobserved","1985-12-07","Andy Lamb","PMLS","",NA,"","","","",873857,"MOL"
"297","Ophiodermella fancherae","(Dall, 1903)",NA,"sea snail","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Neogastropoda","","Conoidea","Borsoniidae","","Ophiodermella",NA,"native","unlisted","reported","unobserved","1961-06-22","Ian McTaggart-Cowan","RBCM","979-03326",1898295480,"","","","",957347,"MOL"
"298","Lirabuccinum dirum","(Reeve, 1846)",NA,"dire whelk","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Neogastropoda","","Buccinoidea","Buccinidae","","Lirabuccinum",NA,"native","unlisted","confirmed","observed","1985-12-07","Andy Lamb","PMLS","",NA,"2019-05-05","Kiara Ganon","https://www.inaturalist.org/observations/24725394","",117642,"MOL"
"299","Alia carinata","(Hinds, 1844)",NA,"carinate dovesnail","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Neogastropoda","","Buccinoidea","Columbellidae","","Alia",NA,"native","unlisted","new 2017","observed","","","","",NA,"2017-05-26","Karolle Wall","https://www.inaturalist.org/observations/7674348","reported as Mitrella carinata",129933,"MOL"
"300","Amphissa columbiana","Dall, 1916",NA,"wrinkled amphissa","Animalia","Mollusca",NA,NA,"Gastropoda","Caenogastropoda","","Neogastropoda","","Buccinoidea","Columbellidae","","Amphissa",NA,"native","unlisted","reported","unobserved","1981-05-31","Andy Lamb","RBCM","986-00191-015",NA,"","","","",117643,"MOL"
