Taxon,Referred iNaturalist Name,Referred iNaturalist Id,Indexed iNaturalist Name,ID,Corrected.ID,Taxon Author,Subtaxon Author,Common Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial Status,National Status,Reporting Status,Observation,Collected/Reported (y-m-d),Collector/Source,Collection/List,Accession Number,GBIF ID,First Observed,Observer,iNaturalist Link,Notes,ID,Stats Code,Name Status,Referred iNaturalist Id,Referred iNaturalist Name,Indexed iNaturalist Name
Madia exigua,Madia exigua,56971,Madia exigua,56971,56971,(Sm.) A. Gray,,little tarweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,Madieae,Madia,exigua,,,,native,S5,,confirmed,observed,1986-08-17,William J. Crins,UBC,V190866,,2016-05-14,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/3181137,,56971,VAS,accepted,56971,Madia exigua,Madia exigua
Madia glomerata,Madia glomerata,77923,Madia glomerata,77923,77923,Hook.,,clustered tarweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,Madieae,Madia,glomerata,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2018-07-14,Andrew Simon,https://www.inaturalist.org/observations/14367584,,77923,VAS,accepted,77923,Madia glomerata,Madia glomerata
Madia gracilis,Madia gracilis,53135,Madia gracilis,53135,53135,(Sm. ex Sm.) D.D. Keck,,slender tarweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,Madieae,Madia,gracilis,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-06-03,Andrew Simon,http://www.inaturalist.org/observations/3383083,,53135,VAS,accepted,53135,Madia gracilis,Madia gracilis
Madia sativa,Madia sativa,53143,Madia sativa,53143,53143,Molina,,Chilean tarweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,Madieae,Madia,sativa,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-06-03,Andrew Simon,http://www.inaturalist.org/observations/3383111,,53143,VAS,accepted,53143,Madia sativa,Madia sativa
Maianthemum dilatatum,Maianthemum dilatatum,63939,Maianthemum dilatatum,63939,63939,(Alph. Wood) A. Nelson & J.F. Macbr.,,false lily-of-the-valley,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,Polygonateae,Maianthemum,dilatatum,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2019-05-04,"Andrew Simon, Quentin Cronk, Diana Percy, Carmen Lea, Jessica Duncan & Harley Gordon",https://www.inaturalist.org/observations/24653224,,63939,VAS,accepted,63939,Maianthemum dilatatum,Maianthemum dilatatum
Maianthemum racemosum ssp. amplexicaule,Maianthemum racemosum amplexicaule,53012,Maianthemum racemosum,51062,53012,(L.) Link,(Nutt.) LaFrankie,western Solomon's plume,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Nolinoideae,Polygonateae,Maianthemum,racemosum,,amplexicaule,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2022-06-17,Andrew Simon & Austin Baines,https://www.inaturalist.org/observations/122258286,,51062,VAS,accepted,53012,Maianthemum racemosum amplexicaule,Maianthemum racemosum
Malus domestica,Malus domestica,469472,Malus domestica,469472,469472,Borkh.,,apple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,,,Malus,domestica,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-05-10,Andrew Simon,http://www.inaturalist.org/observations/3310825,counted as synonymous with Malus pumila,469472,VAS,accepted,469472,Malus domestica,Malus domestica
Malus fusca,Malus fusca,77948,Malus fusca,77948,77948,(Raf.) C.K. Schneid,,Pacific crab apple,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Rosales,,,Rosaceae,,,Malus,fusca,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-07-30,Adam Huggins,http://www.inaturalist.org/observations/3773338,,77948,VAS,accepted,77948,Malus fusca,Malus fusca
Malva moschata,Malva moschata,55977,Malva moschata,55977,55977,L.,,musk mallow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Malvales,,,Malvaceae,,,Malva,moschata,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2018-07-12,Andrew Simon,https://www.inaturalist.org/observations/14300222,,55977,VAS,accepted,55977,Malva moschata,Malva moschata
Malva neglecta,Malva neglecta,77952,Malva neglecta,77952,77952,Wallr.,,dwarf mallow,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Malvales,,,Malvaceae,,,Malva,neglecta,,,,exotic,unlisted,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,77952,VAS,accepted,77952,Malva neglecta,Malva neglecta
Matricaria discoidea,Matricaria discoidea,52992,Matricaria discoidea,52992,52992,DC.,,pineapple weed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Asteroideae,,Matricaria,discoidea,,,,exotic,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-06-24,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2564085,,52992,VAS,accepted,52992,Matricaria discoidea,Matricaria discoidea
Meconella oregana,Meconella oregana,77970,Meconella oregana,77970,77970,Nutt.,,white meconella,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Ranunculanae,Ranunculales,,,Papaveraceae,,,Meconella,oregana,,,,native,S1S2 (2019),1-E (2006),confirmed,observed,1980-04-11,Harvey Janszen,RBCM,V107366,,2014-03-22,Ryan Batten,https://www.inaturalist.org/observations/9142345,,77970,VAS,accepted,77970,Meconella oregana,Meconella oregana
Medicago arabica,Medicago arabica,61012,Medicago arabica,61012,61012,(L.) Huds.,,spotted medic,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fabales,,,Fabaceae,Faboideae,,Medicago,arabica,,,,exotic,unlisted,,new 2022,unobserved,2022-06-13,Frank Lomer,UBC,13040,,,,,,61012,VAS,accepted,61012,Medicago arabica,Medicago arabica
Medicago lupulina,Medicago lupulina,57056,Medicago lupulina,57056,57056,L.,,black medic,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fabales,,,Fabaceae,Faboideae,,Medicago,lupulina,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2020-06-04,Andrew Simon,https://www.inaturalist.org/observations/48489340,,57056,VAS,accepted,57056,Medicago lupulina,Medicago lupulina
Medicago sativa ssp. sativa,Medicago sativa sativa,57070,Medicago sativa,57057,57070,L.,,alfalfa,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fabales,,,Fabaceae,Faboideae,,Medicago,sativa,,,,exotic,unlisted,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,57057,VAS,accepted,57070,Medicago sativa sativa,Medicago sativa
Melica harfordii,Melica harfordii,77983,Melica harfordii,77983,77983,Bol.,,Harford's melic,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Melica,harfordii,,,,native,S4,,confirmed,observed,2022-06-13,Frank Lomer,UBC,13034,,2017-07-28,Andrew Simon,https://www.inaturalist.org/observations/7278330,,77983,VAS,accepted,77983,Melica harfordii,Melica harfordii
Melica smithii,Melica smithii,143698,Melica smithii,143698,143698,(Porter) Vasey,,Smith's melic,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Melica,smithii,,,,native,S4,,reported,unobserved,1986-08-16,William J. Crins,UBC,V191357,,,,,west of Stockade Hill; overlooking Montague;Mesic depression under Bigleaf Maple-fir-Red Alder-Red Cedar,143698,VAS,accepted,143698,Melica smithii,Melica smithii
Melica subulata,Melica subulata,77986,Melica subulata,77986,77986,(Griseb.) Scribn.,,Alaska oniongrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Melica,subulata,,,,native,S5,,confirmed,observed,1986-08-16,William J. Crins,UBC,V191358,,2016-05-10,Andrew Simon,http://www.inaturalist.org/observations/3311145,,77986,VAS,accepted,77986,Melica subulata,Melica subulata
Melilotus albus,Melilotus albus,58907,Melilotus albus,58907,58907,Medik.,,white sweet-clover,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Fabales,,,Fabaceae,Faboideae,,Melilotus,albus,,,,exotic,unlisted,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,58907,VAS,accepted,58907,Melilotus albus,Melilotus albus
Melissa officinalis,Melissa officinalis,59901,Melissa officinalis,59901,59901,L.,,lemon balm,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Lamiaceae,,,Melissa,officinalis,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2016-08-27,Andrew Simon,http://www.inaturalist.org/observations/3978723,,59901,VAS,accepted,59901,Melissa officinalis,Melissa officinalis
Mentha canadensis,Mentha canadensis,77991,Mentha arvensis,58188,77991,L.,,Canada mint,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Lamiaceae,,,Mentha,canadensis,,,,native,S5,,confirmed,observed,1980-04-12,Harvey Janszen,ER 128 Inventory,,,2015-05-04,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2569386,"M. arvensis misreported; ”M. canadensis is a distinct morphotype not to be confused with European M. arvensis s.str. I have only seen M. canadensis in the SGI. I have not seen M. arvensis in BC but it might well be here."" (QC)",58188,VAS,accepted,77991,Mentha canadensis,Mentha arvensis
Mentha spicata,Mentha spicata,62652,Mentha spicata,62652,62652,L.,,spearmint,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Lamiaceae,,,Mentha,spicata,,,,exotic,unlisted,,new 2017,observed,2017-05-27,Alexander J. Wright,Bioblitz Galiano 2017,,,,,,adventive,62652,VAS,accepted,62652,Mentha spicata,Mentha spicata
Mentha suaveolens,Mentha suaveolens,77993,Mentha suaveolens,77993,77993,Ehrh.,,applemint,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Lamiales,,,Lamiaceae,,,Mentha,suaveolens,,,,exotic,unlisted,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,adventive,77993,VAS,accepted,77993,Mentha suaveolens,Mentha suaveolens
Menyanthes trifoliata,Menyanthes trifoliata,78016,Menyanthes trifoliata,78016,78016,L.,,buckbean,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Menyanthaceae,,,Menyanthes,trifoliata,,,,native,S5,,new 2016,observed,,,,,,2016-08-13,Adam Huggins & Andrew Simon,http://www.inaturalist.org/observations/3882093,,78016,VAS,accepted,78016,Menyanthes trifoliata,Menyanthes trifoliata
Micranthes integrifolia,Micranthes integrifolia,78027,Micranthes integrifolia,78027,78027,(Hook.) Small,,grassland saxifrage,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Saxifragales,,,Saxifragaceae,,,Micranthes,integrifolia,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2013-03-22,Ryan Batten,https://www.inaturalist.org/observations/9142627,,78027,VAS,accepted,78027,Micranthes integrifolia,Micranthes integrifolia
Micranthes rufidula,Micranthes rufidula,357949,Micranthes rufidula,357949,357949,Small,,rusty-haired saxifrage,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Saxifragales,,,Saxifragaceae,,,Micranthes,rufidula,,,,native,S5,,new 2018,observed,,,,,,2018-03-05,Andrew Simon,https://www.inaturalist.org/observations/10109045,,357949,VAS,accepted,357949,Micranthes rufidula,Micranthes rufidula
Microsteris gracilis,Microsteris gracilis,61210,Microsteris gracilis,61210,61210,(Douglas ex Hook.) Greene,,pink twink,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Ericales,,,Polemoniaceae,,,Microsteris,gracilis,,,,native,S5,,confirmed,observed,1982-05-10,Harvey Janszen,RBCM,V119985,1949568896,2018-05-11,Andrew Simon,https://www.inaturalist.org/observations/12373997,reported as Phlox gracilis (V119985),61210,VAS,accepted,61210,Microsteris gracilis,Microsteris gracilis
Moehringia macrophylla,Moehringia macrophylla,61884,Moehringia macrophylla,61884,61884,(Hook.) Fenzl,,big-leaved sandwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,,,Moehringia,macrophylla,,,,native,S5,,confirmed,observed,1975-05-13,Angela Wood,RBCM,V097335,1949546493,2015-03-21,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2608744,,61884,VAS,accepted,61884,Moehringia macrophylla,Moehringia macrophylla
Moenchia erecta,Moenchia erecta,78088,Moenchia erecta,78088,78088,"(L.) P.Gaertn., B.Mey. & Scherb.",,upright chickweed,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Caryophyllaceae,Alsinoideae,Alsineae,Moenchia,erecta,,,,exotic,unlisted,,new 2020,observed,2022-06-10,Frank Lomer,UBC,13003,,2020-05-07,Andrew Simon,https://www.inaturalist.org/observations/45205082,,78088,VAS,accepted,78088,Moenchia erecta,Moenchia erecta
Monotropa hypopitys,Monotropa hypopitys,59986,Monotropa hypopitys,59986,59986,L.,,pinesap,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Ericales,,,Ericaceae,Monotropoideae,,Monotropa,hypopitys,,,,native,S5,,reported,unobserved,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,,,,,59986,VAS,accepted,59986,Monotropa hypopitys,Monotropa hypopitys
Monotropa uniflora,Monotropa uniflora,49477,Monotropa uniflora,49477,49477,L.,,indian-pipe,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Ericales,,,Ericaceae,Monotropoideae,,Monotropa,uniflora,,,,native,S5,,confirmed,observed,1979-06-28,Harvey Janszen,RBCM,V097820,1949546874,2006-07-05,Sarah Tweedale,http://inaturalist.ca/observations/3502607,,49477,VAS,accepted,49477,Monotropa uniflora,Monotropa uniflora
Montia dichotoma,Montia dichotoma,78119,Montia dichotoma,78119,78119,(Nutt.) Howell,,dwarf montia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Montiaceae,,,Montia,dichotoma,,,,native,S5,,confirmed,observed,1983-05-01,Gerald B. Straley,UBC,V178676,,2017-04-24,Andrew Simon,https://www.inaturalist.org/observations/5964573,Sticks West; wet mossy area above sea,78119,VAS,accepted,78119,Montia dichotoma,Montia dichotoma
Montia fontana,Montia fontana,58990,Montia fontana,58990,58990,L.,,blinks,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Montiaceae,,,Montia,fontana,,,,native,S5,,confirmed,observed,1974-04-21,Wilfred B. Schofield,UBC,V230998,,2017-01-29,Tyrel Froese & Andrew Simon,https://www.inaturalist.org/observations/5024437,,58990,VAS,accepted,58990,Montia fontana,Montia fontana
Montia howellii,Montia howellii,78121,Montia howellii,78121,78121,S. Watson,,Howell's montia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Montiaceae,,,Montia,howellii,,,,native,S5,,confirmed,observed,2001-04-11,Frank Lomer,UBC,V234966,,2017-04-14,Andrew Simon,https://www.inaturalist.org/observations/5715310,,78121,VAS,accepted,78121,Montia howellii,Montia howellii
Montia linearis,Montia linearis,78122,Montia linearis,78122,78122,(Douglas ex Hook.) Greene,,narrow-leaved montia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Montiaceae,,,Montia,linearis,,,,native,S5,,confirmed,observed,1988-04-23,Gerald B. Straley,UBC,V194247,,2019-05-04,Kiara Gannon,https://www.inaturalist.org/observations/24708159,Bellhouse; vernally wet grassy area; in shallow soil above rocks,78122,VAS,accepted,78122,Montia linearis,Montia linearis
Montia parvifolia,Montia parvifolia,78123,Montia parvifolia,78123,78123,(Moc. ex DC.) Greene,,small-leaved montia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Caryophyllanae,Caryophyllales,,,Montiaceae,,,Montia,parvifolia,,,,native,S5,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-05-14,Andrew Simon,http://www.inaturalist.org/observations/2617694,"application of Montia parvifolia var. flagellaris unclear; sometimes used for all larger plants, sometimes for pink flowers; names don’t correlate to variation in the taxon",78123,VAS,accepted,78123,Montia parvifolia,Montia parvifolia
Muscari armeniacum,Muscari armeniacum,57847,Muscari,50921,57847,Leichtlin,,Armenian grape hyacinth,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,,Muscari,armeniacum,,,,exotic,unlisted,,new 2015,observed,,,,,,2015-03-13,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2580263,,50921,VAS,accepted,57847,Muscari armeniacum,Muscari
Mycelis muralis,Mycelis muralis,48543,Mycelis muralis,48543,48543,(L. Dumort.,,wall lettuce,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Asterales,,,Asteraceae,Cichorioideae,,Mycelis,muralis,,,,exotic,unlisted,,confirmed,observed,2001-08-26,Harvey Janszen,Private List Aug 26 2001,,,2015-03-04,Andrew Simon,http://www.inaturalist.org/observations/2566554,,48543,VAS,accepted,48543,Mycelis muralis,Mycelis muralis
Myosotis arvensis,Myosotis arvensis,51726,Myosotis arvensis,51726,51726,(L.) Hill,,field forget-me-not,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Boraginales,,,Boraginaceae,Cynoglossoideae,,Myosotis,arvensis,,,,exotic,unlisted,,confirmed,observed,1975-07-14,Angela Wood,RBCM,V097757,1949546744,2017-05-28,Andrew Simon,https://www.inaturalist.org/observations/6409658,,51726,VAS,accepted,51726,Myosotis arvensis,Myosotis arvensis
Myosotis discolor,Myosotis discolor,70265,Myosotis discolor,70265,70265,Pers.,,common forget-me-not,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Boraginales,,,Boraginaceae,Cynoglossoideae,,Myosotis,discolor,,,,exotic,unlisted,,confirmed,observed,1975-06-03,Angela Wood,RBCM,V097402,1949546627,2015-04-21,Andrew Simon,http://www.inaturalist.org/observations/2567285,,70265,VAS,accepted,70265,Myosotis discolor,Myosotis discolor
Myosotis laxa,Myosotis laxa,78150,Myosotis laxa,78150,78150,Lehm.,,small-flowered forget-me-not,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Boraginales,,,Boraginaceae,Cynoglossoideae,,Myosotis,laxa,,,,native,S5,,confirmed,observed,1975-05-25,Angela Wood,RBCM,V097681,1949546577,2015-05-28,Lauren Magner & Andrew Simon,http://www.inaturalist.org/observations/2625785,,78150,VAS,accepted,78150,Myosotis laxa,Myosotis laxa
Myosotis scorpioides,Myosotis scorpioides,49130,Myosotis scorpioides,49130,49130,L.,,European forget-me-not,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Boraginales,,,Boraginaceae,Cynoglossoideae,,Myosotis,scorpioides,,,,exotic,unlisted,,confirmed,observed,1975-06-12,Angela Wood,RBCM,V097256,1949546132,2021-06-04,Kristian Sigvardsen,https://www.inaturalist.org/observations/81637533,"Reeces’ field; wet shore of lake; 48.933333°, -123.45°",49130,VAS,accepted,49130,Myosotis scorpioides,Myosotis scorpioides
Myosotis sylvatica,Myosotis sylvatica,55826,Myosotis sylvatica,55826,55826,Ehrh. ex Hoffm.,,wood forget-me-not,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Asteranae,Boraginales,,,Boraginaceae,Cynoglossoideae,,Myosotis,sylvatica,,,,exotic,unlisted,,confirmed,observed,1975-05-14,Angela Wood,RBCM,V097338,1949546343,2017-04-09,Andrew Simon,https://www.inaturalist.org/observations/5635307,"Angela Wood reports M. s.var. alpestris, which is likely misapplied to M. sylvatica; not a valid infraspecific taxon; this species is not recognized by the province according to the BC Ecosystem Explorer; check specimen; couldn't find the specimen! (AS)",55826,VAS,accepted,55826,Myosotis sylvatica,Myosotis sylvatica
Myosurus minimus,Myosurus minimus,58306,Myosurus minimus,58306,58306,L.,,tiny mousetail,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Ranunculanae,Ranunculales,,,Ranunculaceae,,,Myosurus,minimus,,,,native,S4S5,,reported,unobserved,2014-05-13,Frank Lomer,UBC,V241914,,,,,"collected in ruderal area. Possible adventive? –QC ; Montague; near picnic tables;Wet grassy area, too wet yet to cut; growing with Juncus bufonius, Montia fontana, Poa annua, Plantago elongata.",58306,VAS,accepted,58306,Myosurus minimus,Myosurus minimus
Myriophyllum sp.,Myriophyllum,60207,Myriophyllum,60207,60207,,,milfoil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Saxifragales,,,Haloragaceae,,,Myriophyllum,,,,,exotic,,,new 2019,observed,,,,,,2019-05-04,Andrew Simon,https://www.inaturalist.org/observations/24653214,,60207,VAS,accepted,60207,Myriophyllum,Myriophyllum
Myriophyllum spicatum,Myriophyllum spicatum,78157,Myriophyllum spicatum,78157,78157,L.,,Eurasian water-milfoil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,Magnoliidae,Rosanae,Saxifragales,,,Haloragaceae,,,Myriophyllum,spicatum,,,,exotic,unlisted,,reported,unobserved,1979-08-15,Harvey Janszen,RBCM,V097859,1949546890,,,,"Bog + Sturdies Bay farm lake; 48.879167°, -123.31944°",78157,VAS,accepted,78157,Myriophyllum spicatum,Myriophyllum spicatum
